     100 files     200 files     222 text files.
classified 222 filesDuplicate file check 222 files (195 known unique)Unique:      100 files                                               205 unique files.                              
Counting:  100Counting:  200      41 files ignored.

language,filename,blank,comment,code,"http://cloc.sourceforge.net v 1.64  T=0.51 s (395.3 files/s, 29050.7 lines/s)"
C/C++ Header,..\Engine\EclipseNetworking\include\NetworkInterface.h,1,1,11
C++,..\Engine\EclipseNetworking\src\NetworkingApi.cpp,1,0,10
Lua,..\Engine\EclipseGraphics\premake5.lua,0,1,9
Lua,..\Engine\Modules.lua,0,0,7
C++,..\Engine\EclipseEngine\src\EclipseFunction.cpp,1,0,7
Lua,..\Engine\EclipseChat\premake5.lua,0,0,6
DOS Batch,..\Engine\EclipseScripting\classcreator.bat,0,0,5
C++,..\Engine\EclipseGui\src\dep_EclipseGui.cpp,2,3,5
Lua,..\Engine\EclipseNetworking\premake5.lua,0,0,4
C/C++ Header,..\Engine\EclipseGui\include\pch.h,3,6,4
C/C++ Header,..\Engine\EclipseGui\include\framework.h,1,0,2
Lua,..\Engine\EclipseScripting\premake5.lua,0,0,1
C++,..\Engine\EclipseEngine\src\API.cpp,0,0,1
Lua,..\Engine\EclipseEngine\premake5.lua,0,0,1
C++,..\Engine\EclipseNetworking\src\NetworkInterface.cpp,0,0,1
C++,..\Engine\EclipseEngine\src\EclipseEvent.cpp,0,0,1
Lua,..\Engine\EclipseGui\premake5.lua,0,0,1
C++,..\Engine\EclipseEngine\src\EntityContainer.cpp,0,0,1
C++,..\Engine\EclipseEngine\src\EclipseSingleton.cpp,0,0,1
Lua,..\Engine\EclipseDebugging\premake5.lua,0,0,1
C++,..\Engine\EclipseGui\src\pch.cpp,2,2,1
C++,..\Engine\EclipseNetworking\src\NetworkIdentifiers.cpp,0,0,1
C++,..\Engine\EclipseEngine\src\EventCollection.cpp,0,0,1
C++,..\Engine\EclipseEngine\src\System.cpp,0,0,1
